pathway id	pathway name	frequency	RNAseq genes	Methyl genes	significant genes																																																																																																																		
4320	Dorso-ventral axis formation	10	4	0	NOTCH2(RNAseq)	ETS1(RNAseq)	MAPK3(RNAseq)	SOS1(RNAseq)																																																																																																															
4972	Pancreatic secretion	8	26	3	CHRM3(RNAseq)	CHRM3(Methyl)	PLCB2(RNAseq)	PLCB4(RNAseq)	ITPR1(RNAseq)	ITPR2(RNAseq)	ITPR2(Methyl)	ATP2B1(RNAseq)	ATP2B2(RNAseq)	PRKCA(RNAseq)	PRKCB(RNAseq)	PRKCG(RNAseq)	ATP1A2(RNAseq)	ATP1A3(RNAseq)	ATP1B1(RNAseq)	ATP1B3(RNAseq)	CLCA2(RNAseq)	CEL(RNAseq)	PLA2G2D(RNAseq)	PLA2G1B(RNAseq)	PLA2G5(RNAseq)	ATP2A1(RNAseq)	CD38(RNAseq)	ADCY3(RNAseq)	ADCY4(RNAseq)	ADCY6(RNAseq)	ADCY6(Methyl)	RAP1A(RNAseq)	RAC1(RNAseq)																																																																																						
4722	Neurotrophin signaling pathway	7	47	3	NTRK3(RNAseq)	BDNF(RNAseq)	NTF3(RNAseq)	PIK3R5(RNAseq)	PIK3R3(RNAseq)	PIK3CD(RNAseq)	PIK3CG(RNAseq)	PLCG2(RNAseq)	SHC2(RNAseq)	SHC4(RNAseq)	AKT3(RNAseq)	AKT1(RNAseq)	HRAS(RNAseq)	MAP2K2(RNAseq)	SOS1(RNAseq)	MAPK3(RNAseq)	RPS6KA3(RNAseq)	CRK(RNAseq)	CRK(Methyl)	RAPGEF1(RNAseq)	RAP1A(RNAseq)	GAB1(RNAseq)	BAD(RNAseq)	FOXO3(RNAseq)	NFKBIB(RNAseq)	NFKBIA(RNAseq)	ATF4(RNAseq)	ATF4(Methyl)	FASLG(RNAseq)	CAMK2B(RNAseq)	CAMK4(RNAseq)	JUN(RNAseq)	MAP3K5(RNAseq)	MAPK11(RNAseq)	MAPK7(RNAseq)	MAP3K3(RNAseq)	MAP3K3(Methyl)	SH2B3(RNAseq)	SH2B1(RNAseq)	CDC42(RNAseq)	RAC1(RNAseq)	MAGED1(RNAseq)	PRDM4(RNAseq)	NGFRAP1(RNAseq)	RIPK2(RNAseq)	IRAK3(RNAseq)	IKBKB(RNAseq)	CALML5(RNAseq)	CALM2(RNAseq)	BAX(RNAseq)																																																																	
5020	Prion diseases	7	12	0	STIP1(RNAseq)	PRKACB(RNAseq)	PRKX(RNAseq)	BAX(RNAseq)	C1QC(RNAseq)	MAP2K2(RNAseq)	MAPK3(RNAseq)	EGR1(RNAseq)	CCL5(RNAseq)	IL1A(RNAseq)	C5(RNAseq)	C7(RNAseq)																																																																																																							
670	One carbon pool by folate	5	6	1	MTHFD2L(RNAseq)	MTHFR(RNAseq)	MTHFD1(RNAseq)	MTHFD1L(RNAseq)	SHMT1(RNAseq)	SHMT2(RNAseq)	SHMT2(Methyl)																																																																																																												
592	alpha-Linolenic acid metabolism	5	8	1	ACAA1(RNAseq)	PLA2G2D(RNAseq)	PLA2G1B(RNAseq)	PLA2G5(RNAseq)	PLA2G4A(RNAseq)	JMJD7-PLA2G4B(RNAseq)	PLA2G6(RNAseq)	PLA2G6(Methyl)	FADS2(RNAseq)																																																																																																										
620	Pyruvate metabolism	5	7	1	PKM2(RNAseq)	ME3(RNAseq)	LDHA(RNAseq)	LDHA(Methyl)	ALDH2(RNAseq)	ACACB(RNAseq)	GRHPR(RNAseq)	ACYP2(RNAseq)																																																																																																											
3320	PPAR signaling pathway	5	13	1	AQP7(RNAseq)	SLC27A4(RNAseq)	SLC27A1(RNAseq)	RXRB(RNAseq)	ACAA1(RNAseq)	CPT1C(RNAseq)	CPT1B(RNAseq)	CPT1B(Methyl)	ACSL1(RNAseq)	ACSL4(RNAseq)	ACSL5(RNAseq)	MMP1(RNAseq)	ILK(RNAseq)	FADS2(RNAseq)																																																																																																					
4660	T cell receptor signaling pathway	5	52	8	IL2(RNAseq)	NFKBIB(RNAseq)	NFKBIA(RNAseq)	IKBKB(RNAseq)	IKBKG(RNAseq)	MAP3K14(RNAseq)	MAP3K8(RNAseq)	AKT3(RNAseq)	AKT1(RNAseq)	MALT1(RNAseq)	MALT1(Methyl)	CARD11(RNAseq)	PIK3CD(RNAseq)	PIK3CG(RNAseq)	PIK3R5(RNAseq)	PIK3R3(RNAseq)	CD28(RNAseq)	ICOS(RNAseq)	ICOS(Methyl)	CD40LG(RNAseq)	SOS1(RNAseq)	RASGRP1(RNAseq)	HRAS(RNAseq)	FOS(RNAseq)	FOS(Methyl)	JUN(RNAseq)	NFATC2(RNAseq)	PPP3CA(RNAseq)	PPP3R1(RNAseq)	ITK(RNAseq)	LAT(RNAseq)	LAT(Methyl)	GRAP2(RNAseq)	VAV3(RNAseq)	VAV2(RNAseq)	VAV2(Methyl)	CDC42(RNAseq)	PAK1(RNAseq)	PAK2(RNAseq)	PAK4(RNAseq)	PAK4(Methyl)	PAK6(RNAseq)	PAK6(Methyl)	LCP2(RNAseq)	ZAP70(RNAseq)	CD3E(RNAseq)	CD3D(RNAseq)	CD247(RNAseq)	CD247(Methyl)	CD3G(RNAseq)	CD4(RNAseq)	CD8A(RNAseq)	CD8B(RNAseq)	LCK(RNAseq)	PTPRC(RNAseq)	CTLA4(RNAseq)	PDCD1(RNAseq)	MAP2K2(RNAseq)	MAPK3(RNAseq)	MAPK11(RNAseq)																																																							
4510	Focal adhesion	5	83	11	ITGB5(RNAseq)	ITGB7(RNAseq)	ITGA4(RNAseq)	ITGA4(Methyl)	ITGA5(RNAseq)	ITGAV(RNAseq)	ITGA11(RNAseq)	ITGA11(Methyl)	CDC42(RNAseq)	MYLK2(RNAseq)	MYL9(RNAseq)	MYL12B(RNAseq)	DIAPH1(RNAseq)	PPP1CB(RNAseq)	PPP1R12A(RNAseq)	ROCK1(RNAseq)	AKT3(RNAseq)	AKT1(RNAseq)	ILK(RNAseq)	VASP(RNAseq)	PTEN(RNAseq)	PIK3CD(RNAseq)	PIK3CG(RNAseq)	PIK3R5(RNAseq)	PIK3R3(RNAseq)	ACTN4(RNAseq)	ACTN1(RNAseq)	PTK2(RNAseq)	CAPN2(RNAseq)	PRKCA(RNAseq)	PRKCB(RNAseq)	PRKCG(RNAseq)	COMP(RNAseq)	THBS3(RNAseq)	LAMA1(RNAseq)	LAMA2(RNAseq)	FN1(RNAseq)	COL1A1(RNAseq)	COL11A1(RNAseq)	COL11A2(RNAseq)	COL11A2(Methyl)	COL5A3(RNAseq)	COL4A1(RNAseq)	COL4A2(RNAseq)	COL6A1(RNAseq)	COL6A2(RNAseq)	COL6A2(Methyl)	COL6A3(RNAseq)	LAMA5(RNAseq)	LAMB2(RNAseq)	LAMB2(Methyl)	LAMC2(RNAseq)	RELN(RNAseq)	SPP1(RNAseq)	SPP1(Methyl)	VTN(RNAseq)	TNC(RNAseq)	TNXB(RNAseq)	IBSP(RNAseq)	BIRC3(RNAseq)	BAD(RNAseq)	MAPK3(RNAseq)	CCND2(RNAseq)	HRAS(RNAseq)	SOS1(RNAseq)	KDR(RNAseq)	PDGFA(RNAseq)	PDGFB(RNAseq)	PGF(RNAseq)	VEGFA(RNAseq)	FIGF(RNAseq)	PDGFC(RNAseq)	IGF1(RNAseq)	SHC2(RNAseq)	SHC4(RNAseq)	BCAR1(RNAseq)	BCAR1(Methyl)	CRK(RNAseq)	CRK(Methyl)	RAPGEF1(RNAseq)	RAP1A(RNAseq)	JUN(RNAseq)	PAK1(RNAseq)	PAK2(RNAseq)	PAK4(RNAseq)	PAK4(Methyl)	PAK6(RNAseq)	PAK6(Methyl)	RAC1(RNAseq)	RAC2(RNAseq)	RAC3(RNAseq)	VAV3(RNAseq)	VAV2(RNAseq)	VAV2(Methyl)																					
3010	Ribosome	5	1	0	RPS6(RNAseq)																																																																																																																		
5214	Glioma	5	27	0	PDGFA(RNAseq)	PDGFB(RNAseq)	IGF1(RNAseq)	CALML5(RNAseq)	CALM2(RNAseq)	CAMK2B(RNAseq)	PRKCA(RNAseq)	PRKCB(RNAseq)	PRKCG(RNAseq)	SHC2(RNAseq)	SHC4(RNAseq)	SOS1(RNAseq)	ARAF(RNAseq)	MAP2K2(RNAseq)	MAPK3(RNAseq)	PIK3CD(RNAseq)	PIK3CG(RNAseq)	PIK3R5(RNAseq)	PIK3R3(RNAseq)	AKT3(RNAseq)	AKT1(RNAseq)	PTEN(RNAseq)	CDKN2A(RNAseq)	E2F2(RNAseq)	PLCG2(RNAseq)	HRAS(RNAseq)	CDKN1A(RNAseq)																																																																																								
4711	Circadian rhythm - fly	5	4	1	HLF(RNAseq)	CLOCK(RNAseq)	CSNK1E(RNAseq)	CSNK1E(Methyl)	PER2(RNAseq)																																																																																																														
960	Tropane, piperidine and pyridine alkaloid biosynthesis	5	1	0	TAT(RNAseq)																																																																																																																		
